timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
2024-05-07T22:00:00.000Z,,,,,,,,,,,
2024-05-07T22:00:00.000Z,,,,,,,,,,,
,,,,,,22744,55,,,,
,,,,,,22864,57,,,,
,,,,,,22924,55,,,,
,,,,,,22984,53,,,,
2024-05-07T22:06:00.000Z,,,,sedentary,,,,0,,,
,,,,,,23044,54,,,,
2024-05-07T22:08:00.000Z,,,,sedentary,,,,4,,,
,,,,,,23764,55,,,,
,,,,,,23824,54,,,,
,,,,,,23944,56,,,,
,,,,,,24124,54,,,,
,,,,,,24184,55,,,,
2024-05-07T22:27:00.000Z,,,,sedentary,,,,0,,,
,,,,,,24364,57,,,,
2024-05-07T22:29:00.000Z,,,,sedentary,,,,4,,,
,,,,,,24424,54,,,,
,,,,,,24484,55,,,,
2024-05-07T22:32:00.000Z,,,,sedentary,,,,0,,,
,,,,,,24604,57,,,,
,,,,,,24664,54,,,,
,,,,,,24784,58,,,,
2024-05-07T22:36:00.000Z,,,,sedentary,,,,2,,,
,,,,,,24844,54,,,,
2024-05-07T22:37:00.000Z,,,,sedentary,,,,0,,,
,,,,,,24904,56,,,,
2024-05-07T22:38:00.000Z,,,,sedentary,,,,3,,,
,,,,,,24964,57,,,,
,,,,,,25024,59,,,,
,,,,,,25084,63,,,,
,,,,,,25144,62,,,,
2024-05-07T22:43:00.000Z,,,,sedentary,,,,0,,,
,,,,,,25264,73,,,,
2024-05-07T22:44:00.000Z,,,,sedentary,,,,3,,,
,,,,,,25324,62,,,,
,,,,,,25384,57,,,,
2024-05-07T22:46:00.000Z,,,,sedentary,,,,0,,,
,,,,,,25444,56,,,,
2024-05-07T22:47:00.000Z,,,,sedentary,,,,3,,,
,,,,,,25504,55,,,,
,,,,,,25564,58,,,,
2024-05-07T22:49:00.000Z,,,,sedentary,,,,0,,,
,,,,,,25624,57,,,,
2024-05-07T22:50:00.000Z,,,,sedentary,,,,3,,,
,,,,,,25684,59,,,,
,,,,,,25744,60,,,,
,,,,,,25864,61,,,,
,,,,,,25924,59,,,,
2024-05-07T22:55:00.000Z,,,,sedentary,,,,0,,,
,,,,,,25984,62,,,,
2024-05-07T22:56:00.000Z,,,,sedentary,,,,3,,,
,,,,,,26044,55,,,,
,,,,,,26104,57,,,,
,,,,,,26164,56,,,,
,,,,,,26224,58,,,,
2024-05-07T23:00:00.000Z,,,,sedentary,,,,0,,,
,,,,,,26284,57,,,,
,,,,,,26344,56,,,,
,,,,,,26404,58,,,,
,,,,,,26464,57,,,,
2024-05-07T23:04:00.000Z,,,,sedentary,,,,0,,,
,,,,,,26524,60,,,,
2024-05-07T23:05:00.000Z,,,,sedentary,,,,3,,,
,,,,,,26584,55,,,,
,,,,,,26644,54,,,,
,,,,,,26764,53,,,,
,,,,,,26824,54,,,,
,,,,,,26944,53,,,,
,,,,,,27004,54,,,,
,,,,,,27064,55,,,,
,,,,,,27424,57,,,,
,,,,,,27484,56,,,,
,,,,,,27604,57,,,,
,,,,,,27664,56,,,,
,,,,,,27724,57,,,,
,,,,,,27784,55,,,,
2024-05-07T23:26:00.000Z,,,,sedentary,,,,0,,,
,,,,,,27844,57,,,,
2024-05-07T23:27:00.000Z,,,,sedentary,,,,1,,,
,,,,,,27904,55,,,,
2024-05-07T23:28:00.000Z,,,,sedentary,,,,0,,,
,,,,,,27964,62,,,,
,,,,,,28024,66,,,,
2024-05-07T23:30:00.000Z,,,,sedentary,,,,3,,,
,,,,,,28084,71,,,,
,,,,,,28144,66,,,,
,,,,,,28204,54,,,,
,,,,,,28264,55,,,,
,,,,,,28324,54,,,,
,,,,,,28384,56,,,,
,,,,,,28504,55,,,,
2024-05-07T23:38:00.000Z,,,,sedentary,,,,0,,,
,,,,,,28564,59,,,,
,,,,,,28624,62,,,,
2024-05-07T23:40:00.000Z,,,,sedentary,,,,2,,,
,,,,,,28684,57,,,,
,,,,,,28744,52,,,,
,,,,,,28804,53,,,,
,,,,,,28864,55,,,,
2024-05-07T23:44:00.000Z,,,,sedentary,,,,0,,,
,,,,,,28924,53,,,,
,,,,,,28984,60,,,,
,,,,,,29044,50,,,,
,,,,,,29104,56,,,,
2024-05-07T23:48:00.000Z,,,,sedentary,,,,3,,,
,,,,,,29164,53,,,,
,,,,,,29224,54,,,,
,,,,,,29284,55,,,,
,,,,,,29344,54,,,,
2024-05-07T23:52:00.000Z,,,,sedentary,,,,0,,,
,,,,,,29404,55,,,,
2024-05-07T23:53:00.000Z,,,,sedentary,,,,2,,,
,,,,,,29464,57,,,,
,,,,,,29524,54,,,,
2024-05-07T23:56:00.000Z,,,,sedentary,,,,0,,,
,,,,,,29644,56,,,,
,,,,,,29704,64,,,,
2024-05-07T23:58:00.000Z,,,,sedentary,,,,4,,,
,,,,,,29764,54,,,,
2024-05-07T23:59:00.000Z,,,,sedentary,,,,0,,,
,,,,,,29824,55,,,,
2024-05-08T00:00:00.000Z,,,,sedentary,,,,3,,,
,,,,,,29884,54,,,,
,,,,,,30004,65,,,,
,,,,,,30064,55,,,,
,,,,,,30184,57,,,,
,,,,,,30244,56,,,,
,,,,,,30304,57,,,,
,,,,,,30364,55,,,,
,,,,,,30544,57,,,,
,,,,,,30664,56,,,,
,,,,,,30724,57,,,,
,,,,,,30844,58,,,,
,,,,,,30904,56,,,,
,,,,,,30964,58,,,,
,,,,,,31024,57,,,,
,,,,,,31084,55,,,,
,,,,,,31144,58,,,,
,,,,,,31264,56,,,,
2024-05-08T00:26:00.000Z,,,,sedentary,,,,0,,,
,,,,,,31504,58,,,,
,,,,,,31564,59,,,,
2024-05-08T00:29:00.000Z,,,,sedentary,,,,2,,,
,,,,,,31624,52,,,,
,,,,,,31684,57,,,,
,,,,,,31744,58,,,,
,,,,,,31804,54,,,,
,,,,,,31924,53,,,,
2024-05-08T00:35:00.000Z,,,,sedentary,,,,0,,,
,,,,,,31984,60,,,,
2024-05-08T00:36:00.000Z,,,,sedentary,,,,2,,,
,,,,,,32044,53,,,,
,,,,,,32104,59,,,,
,,,,,,32164,65,,,,
,,,,,,32224,64,,,,
,,,,,,32344,61,,,,
,,,,,,32404,62,,,,
,,,,,,32464,61,,,,
,,,,,,32524,64,,,,
,,,,,,32584,60,,,,
,,,,,,32644,63,,,,
,,,,,,32704,65,,,,
,,,,,,32764,72,,,,
,,,,,,32824,75,,,,
2024-05-08T00:50:00.000Z,,,,sedentary,,,,0,,,
,,,,,,32884,66,,,,
2024-05-08T00:51:00.000Z,,,,sedentary,,,,3,,,
,,,,,,32944,64,,,,
,,,,,,33004,63,,,,
,,,,,,33064,68,,,,
,,,,,,33124,72,,,,
,,,,,,33184,73,,,,
2024-05-08T00:56:00.000Z,,,,sedentary,,,,0,,,
,,,,,,33244,76,,,,
2024-05-08T00:57:00.000Z,,,,sedentary,,,,3,,,
,,,,,,33304,70,,,,
,,,,,,33364,61,,,,
2024-05-08T00:59:00.000Z,,,,sedentary,,,,0,,,
,,,,,,33424,64,,,,
2024-05-08T01:00:00.000Z,,,,sedentary,,,,3,,,
,,,,,,33484,57,,,,
,,,,,,33544,58,,,,
,,,,,,33604,59,,,,
,,,,,,33664,58,,,,
,,,,,,33724,57,,,,
2024-05-08T01:05:00.000Z,,,,sedentary,,,,0,,,
,,,,,,33784,64,,,,
2024-05-08T01:06:00.000Z,,,,sedentary,,,,4,,,
,,,,,,33904,60,,,,
,,,,,,34024,64,,,,
,,,,,,34084,59,,,,
,,,,,,34204,54,,,,
,,,,,,34264,57,,,,
2024-05-08T01:14:00.000Z,,,,sedentary,,,,0,,,
2024-05-08T01:15:00.000Z,,,,sedentary,,,,3,,,
,,,,,,34384,59,,,,
,,,,,,34444,61,,,,
,,,,,,34504,56,,,,
,,,,,,34564,57,,,,
,,,,,,34624,59,,,,
,,,,,,34684,58,,,,
,,,,,,35044,59,,,,
,,,,,,35104,60,,,,
,,,,,,35164,59,,,,
,,,,,,35224,57,,,,
,,,,,,35284,59,,,,
,,,,,,35404,60,,,,
,,,,,,35464,61,,,,
,,,,,,35524,57,,,,
2024-05-08T01:35:00.000Z,,,,sedentary,,,,0,,,
,,,,,,35584,56,,,,
2024-05-08T01:36:00.000Z,,,,sedentary,,,,1,,,
2024-05-08T01:37:00.000Z,,,,sedentary,,,,0,,,
,,,,,,35704,60,,,,
2024-05-08T01:38:00.000Z,,,,sedentary,,,,1,,,
,,,,,,35764,54,,,,
,,,,,,35824,55,,,,
,,,,,,36004,56,,,,
,,,,,,36124,57,,,,
,,,,,,36184,56,,,,
,,,,,,36244,55,,,,
,,,,,,36364,56,,,,
,,,,,,36544,57,,,,
,,,,,,36604,56,,,,
,,,,,,36664,55,,,,
,,,,,,36784,56,,,,
,,,,,,36844,55,,,,
,,,,,,36904,54,,,,
,,,,,,36964,53,,,,
