stress level value,stress level time
69,2024-05-08T22:01:00.000Z
80,2024-05-08T22:02:00.000Z
71,2024-05-08T22:03:00.000Z
75,2024-05-08T22:04:00.000Z
91,2024-05-08T22:05:00.000Z
78,2024-05-08T22:06:00.000Z
75,2024-05-08T22:07:00.000Z
62,2024-05-08T22:08:00.000Z
60,2024-05-08T22:09:00.000Z
59,2024-05-08T22:10:00.000Z
65,2024-05-08T22:11:00.000Z
58,2024-05-08T22:12:00.000Z
63,2024-05-08T22:13:00.000Z
55,2024-05-08T22:14:00.000Z
-2,2024-05-08T22:15:00.000Z
67,2024-05-08T22:16:00.000Z
60,2024-05-08T22:17:00.000Z
39,2024-05-08T22:18:00.000Z
64,2024-05-08T22:19:00.000Z
69,2024-05-08T22:20:00.000Z
69,2024-05-08T22:21:00.000Z
76,2024-05-08T22:22:00.000Z
69,2024-05-08T22:23:00.000Z
60,2024-05-08T22:24:00.000Z
36,2024-05-08T22:25:00.000Z
54,2024-05-08T22:26:00.000Z
59,2024-05-08T22:27:00.000Z
54,2024-05-08T22:28:00.000Z
51,2024-05-08T22:29:00.000Z
52,2024-05-08T22:30:00.000Z
39,2024-05-08T22:31:00.000Z
33,2024-05-08T22:32:00.000Z
49,2024-05-08T22:33:00.000Z
57,2024-05-08T22:34:00.000Z
39,2024-05-08T22:35:00.000Z
36,2024-05-08T22:36:00.000Z
35,2024-05-08T22:37:00.000Z
30,2024-05-08T22:38:00.000Z
37,2024-05-08T22:39:00.000Z
36,2024-05-08T22:40:00.000Z
36,2024-05-08T22:41:00.000Z
33,2024-05-08T22:42:00.000Z
35,2024-05-08T22:43:00.000Z
33,2024-05-08T22:44:00.000Z
35,2024-05-08T22:45:00.000Z
39,2024-05-08T22:46:00.000Z
36,2024-05-08T22:47:00.000Z
37,2024-05-08T22:48:00.000Z
30,2024-05-08T22:49:00.000Z
32,2024-05-08T22:50:00.000Z
31,2024-05-08T22:51:00.000Z
38,2024-05-08T22:52:00.000Z
24,2024-05-08T22:53:00.000Z
32,2024-05-08T22:54:00.000Z
28,2024-05-08T22:55:00.000Z
27,2024-05-08T22:56:00.000Z
57,2024-05-08T22:57:00.000Z
62,2024-05-08T22:58:00.000Z
36,2024-05-08T22:59:00.000Z
51,2024-05-08T23:00:00.000Z
30,2024-05-08T23:01:00.000Z
43,2024-05-08T23:02:00.000Z
39,2024-05-08T23:03:00.000Z
