timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
2023-09-01T07:12:00.000Z,0.00,0,1240.000,generic,51,,,,612,,
2023-09-01T07:12:00.000Z,2665.71,3348,3475.000,walking,263,,,,612,,
2023-09-01T07:12:00.000Z,3809.80,3190,1184.000,running,223,,,,612,,
2023-09-01T07:12:00.000Z,,,,,,,,,,,
2023-09-01T07:12:00.000Z,,,,,,,,,,,
,,,,,,17148,105,,,,
,,0,1255.000,generic,51,17148,,6,,,
,,,,,,17208,98,,,,
2023-09-01T07:14:00.000Z,,,,sedentary,,,,4,,,
,,,,,,17268,95,,,,
,,3394,3508.000,walking,265,17268,,1,,,
,,,,,,17328,101,,,,
,,3421,3568.000,walking,268,17328,,0,,,
,,,,,,17388,104,,,,
,,0,1315.000,generic,53,17388,,5,,,
,,,,,,17448,96,,,,
,,,,,,17508,90,,,,
2023-09-01T07:20:00.000Z,,,,sedentary,,,,5,,,
,,,,,,17628,105,,,,
,,3430,3592.000,walking,269,17628,,0,,,
,,,,,,17688,102,,,,
,,0,1353.000,generic,55,17688,,5,,,
,,3439,3594.000,walking,269,17748,,0,,,
,,,,,,17808,99,,,,
2023-09-01T07:24:00.000Z,,,,sedentary,,,,2,,,
,,,,,,17868,104,,,,
,,0,1413.000,generic,58,17868,,3,,,
,,,,,,17928,107,,,,
,,3455,3654.000,walking,272,17928,,0,,,
,,,,,,17988,105,,,,
,,0,1473.000,generic,61,17988,,6,,,
,,,,,,18048,104,,,,
,,3468,3692.000,walking,273,18048,,0,,,
,,,,,,18108,97,,,,
2023-09-01T07:29:00.000Z,,,,sedentary,,,,5,,,
,,,,,,18168,98,,,,
,,3500,3703.000,walking,273,18168,,3,,,
,,,,,,18228,99,,,,
,,3505,3706.000,walking,274,18228,,3,,,
,,,,,,18288,100,,,,
,,,,,,18348,97,,,,
2023-09-01T07:33:00.000Z,,,,sedentary,,,,6,,,
,,,,,,18408,101,,,,
,,,,,,18468,104,,,,
,,3540,3794.000,walking,278,18468,,0,,,
,,,,,,18528,106,,,,
,,0,1533.000,generic,63,18528,,7,,,
,,,,,,18588,103,,,,
,,3573,3839.000,walking,280,18588,,1,,,
,,,,,,18648,105,,,,
,,,,,,18708,109,,,,
,,,,,,18768,112,,,,
,,,,,,18828,110,,,,
,,,,,,18888,108,,,,
,,0,1795.000,generic,78,18888,,6,,,
,,,,,,18948,110,,,,
,,,,,,19008,109,,,,
,,,,,,19022,,,,,2.711
,,,,,,19042,,,,2.672,
,,,,,,19068,106,,,,
,,3826,4019.000,walking,292,19068,,2,,,
,,,,,,19128,111,,,,
,,0,1855.000,generic,82,19128,,5,,,
,,,,,,19188,98,,,,
,,,,,,19248,79,,,,
,,,,,,19308,85,,,,
2023-09-01T07:49:00.000Z,,,,sedentary,,,,4,,,
,,,,,,19368,88,,,,
,,3839,4021.000,walking,292,19368,,3,,,
,,,,,,19428,83,,,,
,,,,,,19488,88,,,,
,,,,,,19548,85,,,,
2023-09-01T07:53:00.000Z,,,,sedentary,,,,4,,,
,,,,,,19608,86,,,,
,,3848,4022.000,walking,292,19608,,3,,,
,,,,,,19668,89,,,,
,,,,,,19728,82,,,,
,,,,,,19788,83,,,,
,,,,,,19848,88,,,,
,,,,,,19908,85,,,,
,,,,,,19968,90,,,,
2023-09-01T08:00:00.000Z,,,,sedentary,,,,5,,,
,,,,,,20028,87,,,,
,,,,,,20088,78,,,,
,,3886,4037.000,walking,292,20088,,2,,,
,,,,,,20148,79,,,,
,,,,,,20208,81,,,,
,,,,,,20268,85,,,,
,,,,,,20328,84,,,,
,,,,,,20388,80,,,,
,,,,,,20448,81,,,,
,,,,,,20508,82,,,,
,,,,,,20568,92,,,,
2023-09-01T08:10:00.000Z,,,,sedentary,,,,4,,,
,,,,,,20628,103,,,,
,,0,1877.000,generic,84,20628,,5,,,
,,,,,,20688,111,,,,
,,3935,4097.000,walking,297,20688,,1,,,
,,,,,,20748,113,,,,
,,3972,4157.000,walking,302,20748,,0,,,
,,,,,,20808,106,,,,
,,0,1937.000,generic,87,20808,,5,,,
,,,,,,20868,98,,,,
,,,,,,20928,88,,,,
,,,,,,20988,97,,,,
,,,,,,21048,92,,,,
2023-09-01T08:18:00.000Z,,,,sedentary,,,,4,,,
,,,,,,21108,98,,,,
,,3985,4158.000,walking,302,21108,,5,,,
,,,,,,21168,105,,,,
,,,,,,21228,102,,,,
,,0,1997.000,generic,90,21228,,5,,,
,,,,,,21288,91,,,,
,,,,,,21348,92,,,,
2023-09-01T08:23:00.000Z,,,,sedentary,,,,3,,,
,,,,,,21408,89,,,,
,,,,,,21468,101,,,,
,,4034,4199.000,walking,304,21468,,1,,,
,,,,,,21528,105,,,,
,,0,2057.000,generic,93,21528,,5,,,
,,,,,,21588,83,,,,
,,,,,,21648,79,,,,
2023-09-01T08:28:00.000Z,,,,sedentary,,,,4,,,
,,,,,,21708,107,,,,
,,4099,4239.000,walking,306,21708,,1,,,
,,,,,,21768,104,,,,
,,0,2095.000,generic,95,21768,,1,,,
,,,,,,21828,91,,,,
,,,,,,21888,84,,,,
,,,,,,21948,89,,,,
,,,,,,22008,90,,,,
,,,,,,22068,84,,,,
,,,,,,22188,88,,,,
,,,,,,22248,94,,,,
,,,,,,22308,91,,,,
,,,,,,22368,88,,,,
,,,,,,22428,90,,,,
,,,,,,22488,91,,,,
,,,,,,22548,86,,,,
,,,,,,22608,83,,,,
,,,,,,22668,91,,,,
,,,,,,22728,83,,,,
,,,,,,22788,81,,,,
2023-09-01T08:47:00.000Z,,,,sedentary,,,,3,,,
,,,,,,22848,80,,,,
,,4110,4241.000,walking,306,22848,,2,,,
,,,,,,22908,89,,,,
,,,,,,22968,83,,,,
,,,,,,23028,77,,,,
,,,,,,23088,79,,,,
2023-09-01T08:52:00.000Z,,,,sedentary,,,,4,,,
2023-09-01T08:53:00.000Z,,,,sedentary,,,,0,,,
,,,,,,23208,82,,,,
,,,,,,23268,76,,,,
,,,,,,23328,77,,,,
,,,,,,23388,78,,,,
,,,,,,23448,75,,,,
,,,,,,23568,72,,,,
,,,,,,23628,74,,,,
,,,,,,23688,77,,,,
,,,,,,23748,79,,,,
,,,,,,23808,78,,,,
,,,,,,23868,76,,,,
,,,,,,23928,81,,,,
,,,,,,23988,77,,,,
,,,,,,24048,75,,,,
,,,,,,24108,78,,,,
,,,,,,24168,80,,,,
,,,,,,24228,79,,,,
2023-09-01T09:12:00.000Z,,,,sedentary,,,,3,,,
,,,,,,24348,74,,,,
,,,,,,24408,78,,,,
,,,,,,24468,79,,,,
,,,,,,24528,82,,,,
,,,,,,24588,77,,,,
,,,,,,24708,83,,,,
,,,,,,24768,81,,,,
,,,,,,24828,82,,,,
,,,,,,24888,77,,,,
,,,,,,24948,75,,,,
,,,,,,25008,77,,,,
,,,,,,25068,75,,,,
,,,,,,25188,76,,,,
2023-09-01T09:27:00.000Z,,,,sedentary,,,,4,,,
,,,,,,25248,78,,,,
2023-09-01T09:28:00.000Z,,,,sedentary,,,,0,,,
,,,,,,25308,77,,,,
2023-09-01T09:29:00.000Z,,,,sedentary,,,,2,,,
,,,,,,25368,76,,,,
,,4132,4247.000,walking,306,25368,,2,,,
,,,,,,25428,74,,,,
,,,,,,25488,76,,,,
,,,,,,25548,81,,,,
,,,,,,25608,68,,,,
,,,,,,25668,70,,,,
2023-09-01T09:35:00.000Z,,,,sedentary,,,,4,,,
,,,,,,25728,77,,,,
2023-09-01T09:37:00.000Z,,,,sedentary,,,,0,,,
,,,,,,25848,79,,,,
,,,,,,25908,78,,,,
,,,,,,25968,83,,,,
,,,,,,26028,73,,,,
,,,,,,26088,76,,,,
,,,,,,26148,82,,,,
,,,,,,26208,81,,,,
,,,,,,26328,85,,,,
,,,,,,26448,76,,,,
,,,,,,26508,80,,,,
,,,,,,26568,79,,,,
,,,,,,26628,76,,,,
2023-09-01T09:51:00.000Z,,,,sedentary,,,,4,,,
,,,,,,26688,78,,,,
,,,,,,26748,93,,,,
,,4165,4267.000,walking,307,26748,,1,,,
