timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,moderate activity minutes,vigorous activity minutes
2024-04-25T21:00:00.000Z,,,,,,,,,,,,,
2024-04-25T21:00:00.000Z,,,,,,,,,,,,,
,,,,,,30860,65,,,,,,
,,7,2.000,walking,0,30860,,0,,,,,
,,,,,,30920,60,,,,,,
,,,,,,30980,61,,,,,,
2024-04-25T21:03:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,31040,60,,,,,,
,,20,4.000,walking,0,31040,,4,,,,,
,,,,,,31100,59,,,,,,
,,,,,,31160,61,,,,,,
,,,,,,31220,63,,,,,,
,,,,,,31280,58,,,,,,
,,,,,,31400,59,,,,,,
,,,,,,31460,57,,,,,,
,,,,,,31520,58,,,,,,
,,,,,,31580,62,,,,,,
,,,,,,31640,59,,,,,,
,,,,,,31700,64,,,,,,
,,,,,,31820,63,,,,,,
2024-04-25T21:17:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,31880,59,,,,,,
,,,,,,31940,66,,,,,,
,,,,,,32000,70,,,,,,
,,,,,,32120,73,,,,,,
,,,,,,32180,78,,,,,,
,,,,,,32240,87,,,,,,
,,,,,,32274,,,,6.402,,,
,,,,,,32300,92,,,,,,
,,,,,,32339,,,,,5.379,,
,,,,,,32354,,,,,0.636,,
,,,,,,32420,91,,,,,,
,,,,,,32474,,,,4.924,,,
,,,,,,32480,80,,,,,,
,,,,,,32540,105,,,,,,
,,577,275.000,walking,12,32540,,2,,,,,
,,,,,,32600,99,,,,,,
,,,,,,32660,74,,,,,,
2024-04-25T21:31:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,32720,87,,,,,,
,,594,281.000,walking,12,32720,,2,,,,,
,,,,,,32780,81,,,,,,
,,,,,,32840,67,,,,,,
2024-04-25T21:34:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,32900,72,,,,,,
,,603,284.000,walking,12,32900,,1,,,,,
,,,,,,32960,74,,,,,,
,,,,,,33020,68,,,,,,
,,,,,,33080,70,,,,,,
2024-04-25T21:38:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,33140,65,,,,,,
2024-04-25T21:39:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,33200,64,,,,,,
2024-04-25T21:40:00.000Z,,,,sedentary,,,,1,,,,,
,,,,,,33260,66,,,,,,
,,614,289.000,walking,12,33260,,1,,,,,
,,,,,,33320,74,,,,,,
,,,,,,33380,69,,,,,,
,,,,,,33440,65,,,,,,
,,,,,,33560,61,,,,,,
2024-04-25T21:47:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,33740,59,,,,,,
,,,,,,33800,57,,,,,,
,,,,,,33860,53,,,,,,
,,,,,,33920,52,,,,,,
,,,,,,33980,54,,,,,,
,,,,,,34100,55,,,,,,
,,,,,,34160,52,,,,,,
,,,,,,34280,54,,,,,,
,,,,,,34340,53,,,,,,
,,,,,,34400,54,,,,,,
2024-04-25T22:00:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,34460,53,,,,,,
,,,,,,34520,55,,,,,,
,,,,,,34580,53,,,,,,
,,,,,,34640,56,,,,,,
,,,,,,34700,54,,,,,,
,,,,,,34760,56,,,,,,
,,,,,,34820,53,,,,,,
,,,,,,34880,55,,,,,,
,,,,,,34940,56,,,,,,
,,,,,,35060,57,,,,,,
2024-04-25T22:11:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,35120,61,,,,,,
2024-04-25T22:12:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,35180,57,,,,,,
,,,,,,35240,54,,,,,,
,,,,,,35300,55,,,,,,
,,,,,,35360,53,,,,,,
,,,,,,35420,54,,,,,,
,,,,,,35480,58,,,,,,
,,,,,,35540,54,,,,,,
,,,,,,35600,55,,,,,,
,,,,,,35660,56,,,,,,
,,,,,,35720,55,,,,,,
,,,,,,35780,53,,,,,,
2024-04-25T22:23:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,35840,56,,,,,,
2024-04-25T22:24:00.000Z,,,,sedentary,,,,2,,,,,
,,,,,,35900,64,,,,,,
,,,,,,35960,60,,,,,,
