stress level value,stress level time
-2,2023-09-01T07:13:00.000Z
-1,2023-09-01T07:14:00.000Z
-2,2023-09-01T07:15:00.000Z
-2,2023-09-01T07:16:00.000Z
-2,2023-09-01T07:17:00.000Z
-2,2023-09-01T07:18:00.000Z
-2,2023-09-01T07:19:00.000Z
88,2023-09-01T07:20:00.000Z
-1,2023-09-01T07:21:00.000Z
-1,2023-09-01T07:22:00.000Z
96,2023-09-01T07:23:00.000Z
-1,2023-09-01T07:24:00.000Z
96,2023-09-01T07:25:00.000Z
96,2023-09-01T07:26:00.000Z
-2,2023-09-01T07:27:00.000Z
-2,2023-09-01T07:28:00.000Z
-2,2023-09-01T07:29:00.000Z
-2,2023-09-01T07:30:00.000Z
-2,2023-09-01T07:31:00.000Z
-2,2023-09-01T07:32:00.000Z
-2,2023-09-01T07:33:00.000Z
-2,2023-09-01T07:34:00.000Z
-2,2023-09-01T07:35:00.000Z
-2,2023-09-01T07:36:00.000Z
-2,2023-09-01T07:37:00.000Z
-2,2023-09-01T07:38:00.000Z
-2,2023-09-01T07:39:00.000Z
-2,2023-09-01T07:40:00.000Z
-2,2023-09-01T07:41:00.000Z
-2,2023-09-01T07:42:00.000Z
-2,2023-09-01T07:43:00.000Z
-2,2023-09-01T07:44:00.000Z
-2,2023-09-01T07:45:00.000Z
-1,2023-09-01T07:46:00.000Z
-1,2023-09-01T07:47:00.000Z
-1,2023-09-01T07:48:00.000Z
-1,2023-09-01T07:49:00.000Z
-1,2023-09-01T07:50:00.000Z
-1,2023-09-01T07:51:00.000Z
-1,2023-09-01T07:52:00.000Z
-1,2023-09-01T07:53:00.000Z
-1,2023-09-01T07:54:00.000Z
-1,2023-09-01T07:55:00.000Z
78,2023-09-01T07:56:00.000Z
81,2023-09-01T07:57:00.000Z
82,2023-09-01T07:58:00.000Z
84,2023-09-01T07:59:00.000Z
89,2023-09-01T08:00:00.000Z
77,2023-09-01T08:01:00.000Z
74,2023-09-01T08:02:00.000Z
-1,2023-09-01T08:03:00.000Z
66,2023-09-01T08:04:00.000Z
81,2023-09-01T08:05:00.000Z
66,2023-09-01T08:06:00.000Z
69,2023-09-01T08:07:00.000Z
72,2023-09-01T08:08:00.000Z
76,2023-09-01T08:09:00.000Z
84,2023-09-01T08:10:00.000Z
96,2023-09-01T08:11:00.000Z
-2,2023-09-01T08:12:00.000Z
-2,2023-09-01T08:13:00.000Z
-1,2023-09-01T08:14:00.000Z
-1,2023-09-01T08:15:00.000Z
-1,2023-09-01T08:16:00.000Z
93,2023-09-01T08:17:00.000Z
90,2023-09-01T08:18:00.000Z
91,2023-09-01T08:19:00.000Z
98,2023-09-01T08:20:00.000Z
-1,2023-09-01T08:21:00.000Z
-1,2023-09-01T08:22:00.000Z
-1,2023-09-01T08:23:00.000Z
-2,2023-09-01T08:24:00.000Z
-1,2023-09-01T08:25:00.000Z
-1,2023-09-01T08:26:00.000Z
-1,2023-09-01T08:27:00.000Z
-1,2023-09-01T08:28:00.000Z
-2,2023-09-01T08:29:00.000Z
-1,2023-09-01T08:30:00.000Z
-1,2023-09-01T08:31:00.000Z
81,2023-09-01T08:32:00.000Z
87,2023-09-01T08:33:00.000Z
81,2023-09-01T08:34:00.000Z
76,2023-09-01T08:35:00.000Z
73,2023-09-01T08:36:00.000Z
86,2023-09-01T08:37:00.000Z
93,2023-09-01T08:38:00.000Z
83,2023-09-01T08:39:00.000Z
84,2023-09-01T08:40:00.000Z
81,2023-09-01T08:41:00.000Z
79,2023-09-01T08:42:00.000Z
75,2023-09-01T08:43:00.000Z
84,2023-09-01T08:44:00.000Z
81,2023-09-01T08:45:00.000Z
76,2023-09-01T08:46:00.000Z
42,2023-09-01T08:47:00.000Z
-1,2023-09-01T08:48:00.000Z
-1,2023-09-01T08:49:00.000Z
76,2023-09-01T08:50:00.000Z
66,2023-09-01T08:51:00.000Z
68,2023-09-01T08:52:00.000Z
54,2023-09-01T08:53:00.000Z
68,2023-09-01T08:54:00.000Z
67,2023-09-01T08:55:00.000Z
69,2023-09-01T08:56:00.000Z
71,2023-09-01T08:57:00.000Z
49,2023-09-01T08:58:00.000Z
49,2023-09-01T08:59:00.000Z
54,2023-09-01T09:00:00.000Z
