timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
2024-04-29T21:00:00.000Z,,,,,,,,,,,
2024-04-29T21:00:00.000Z,,,,,,,,,,,
,,,,,,48780,80,,,,
2024-04-29T21:01:00.000Z,,,,sedentary,,,,5,,,
,,,,,,48840,69,,,,
,,8,1.000,walking,0,48840,,1,,,
,,,,,,48900,71,,,,
,,,,,,48960,67,,,,
,,,,,,49020,69,,,,
2024-04-29T21:05:00.000Z,,,,sedentary,,,,4,,,
,,,,,,49080,67,,,,
2024-04-29T21:06:00.000Z,,,,sedentary,,,,0,,,
,,,,,,49140,60,,,,
,,,,,,49200,61,,,,
,,,,,,49260,57,,,,
2024-04-29T21:09:00.000Z,,,,sedentary,,,,3,,,
,,,,,,49320,60,,,,
2024-04-29T21:10:00.000Z,,,,sedentary,,,,0,,,
,,,,,,49440,59,,,,
,,,,,,49500,58,,,,
,,,,,,49560,66,,,,
,,,,,,49620,59,,,,
,,,,,,49680,61,,,,
,,,,,,49740,63,,,,
2024-04-29T21:17:00.000Z,,,,sedentary,,,,3,,,
,,,,,,49800,66,,,,
,,17,3.000,walking,0,49800,,3,,,
,,,,,,49860,71,,,,
,,,,,,49920,69,,,,
,,,,,,49980,64,,,,
,,,,,,50100,72,,,,
,,,,,,50160,73,,,,
,,,,,,50220,75,,,,
2024-04-29T21:25:00.000Z,,,,sedentary,,,,4,,,
,,38,5.000,walking,0,50280,,3,,,
,,,,,,50340,74,,,,
,,,,,,50400,70,,,,
,,,,,,50460,62,,,,
,,,,,,50520,63,,,,
,,,,,,50580,61,,,,
,,,,,,50640,59,,,,
,,,,,,50700,67,,,,
2024-04-29T21:33:00.000Z,,,,sedentary,,,,3,,,
,,,,,,50760,70,,,,
,,,,,,50820,72,,,,
,,72,12.000,walking,0,50820,,3,,,
,,,,,,50880,73,,,,
,,,,,,50940,70,,,,
,,,,,,51000,65,,,,
,,,,,,51060,70,,,,
,,,,,,51120,65,,,,
2024-04-29T21:40:00.000Z,,,,sedentary,,,,4,,,
,,,,,,51180,74,,,,
,,,,,,51240,63,,,,
,,,,,,51300,60,,,,
,,,,,,51360,58,,,,
,,,,,,51420,59,,,,
,,,,,,51660,56,,,,
,,,,,,51720,60,,,,
,,,,,,51780,58,,,,
,,,,,,51840,55,,,,
,,,,,,51900,56,,,,
,,,,,,51960,57,,,,
,,,,,,52020,59,,,,
,,,,,,52080,56,,,,
,,,,,,52140,57,,,,
,,,,,,52200,59,,,,
2024-04-29T21:59:00.000Z,,,,sedentary,,,,0,,,
,,,,,,52320,58,,,,
2024-04-29T22:00:00.000Z,,,,sedentary,,,,3,,,
,,,,,,52380,56,,,,
,,,,,,52440,57,,,,
,,,,,,52560,58,,,,
,,,,,,52680,59,,,,
,,,,,,52740,58,,,,
,,,,,,52860,57,,,,
2024-04-29T22:09:00.000Z,,,,sedentary,,,,0,,,
,,,,,,52920,58,,,,
2024-04-29T22:10:00.000Z,,,,sedentary,,,,3,,,
,,,,,,52980,61,,,,
,,,,,,53040,57,,,,
,,,,,,53100,59,,,,
,,,,,,53220,58,,,,
,,,,,,53280,59,,,,
,,,,,,53340,61,,,,
,,,,,,53400,59,,,,
,,,,,,53460,58,,,,
,,,,,,53520,61,,,,
,,,,,,53580,60,,,,
,,,,,,53640,59,,,,
,,,,,,53700,58,,,,
,,,,,,53760,60,,,,
,,,,,,53820,59,,,,
2024-04-29T22:27:00.000Z,,,,sedentary,,,,0,,,
,,,,,,54000,60,,,,
2024-04-29T22:28:00.000Z,,,,sedentary,,,,3,,,
,,,,,,54060,68,,,,
2024-04-29T22:29:00.000Z,,,,sedentary,,,,0,,,
,,,,,,54120,51,,,,
2024-04-29T22:30:00.000Z,,,,sedentary,,,,2,,,
,,,,,,54180,52,,,,
,,,,,,54240,53,,,,
,,,,,,54300,56,,,,
,,,,,,54360,54,,,,
2024-04-29T22:34:00.000Z,,,,sedentary,,,,0,,,
2024-04-29T22:36:00.000Z,,,,sedentary,,,,2,,,
,,,,,,54540,53,,,,
,,,,,,54600,55,,,,
,,,,,,54720,56,,,,
,,,,,,54840,57,,,,
2024-04-29T22:43:00.000Z,,,,sedentary,,,,0,,,
,,,,,,54960,53,,,,
2024-04-29T22:44:00.000Z,,,,sedentary,,,,2,,,
,,,,,,55020,55,,,,
,,,,,,55080,54,,,,
,,,,,,55140,56,,,,
2024-04-29T22:48:00.000Z,,,,sedentary,,,,0,,,
,,,,,,55260,57,,,,
2024-04-29T22:49:00.000Z,,,,sedentary,,,,2,,,
,,,,,,55320,56,,,,
,,,,,,55380,55,,,,
,,,,,,55440,57,,,,
,,,,,,55560,58,,,,
,,,,,,55680,57,,,,
2024-04-29T22:57:00.000Z,,,,sedentary,,,,0,,,
,,,,,,55860,66,,,,
2024-04-29T22:59:00.000Z,,,,sedentary,,,,2,,,
,,,,,,55920,58,,,,
2024-04-29T23:00:00.000Z,,,,sedentary,,,,0,,,
,,,,,,55980,57,,,,
2024-04-29T23:01:00.000Z,,,,sedentary,,,,0,,,
,,,,,,56040,56,,,,
,,,,,,56100,54,,,,
2024-04-29T23:03:00.000Z,,,,sedentary,,,,2,,,
,,,,,,56160,58,,,,
,,,,,,56220,59,,,,
,,,,,,56280,64,,,,
,,,,,,56340,66,,,,
,,,,,,56400,68,,,,
,,,,,,56460,67,,,,
,,,,,,56520,66,,,,
,,,,,,56580,72,,,,
,,,,,,56640,77,,,,
,,,,,,56700,72,,,,
,,,,,,56760,71,,,,
,,,,,,56820,75,,,,
,,,,,,56880,66,,,,
,,,,,,56940,69,,,,
2024-04-29T23:17:00.000Z,,,,sedentary,,,,0,,,
2024-04-29T23:18:00.000Z,,,,sedentary,,,,3,,,
,,,,,,57060,70,,,,
,,,,,,57120,64,,,,
,,,,,,57180,61,,,,
,,,,,,57240,62,,,,
,,,,,,57300,59,,,,
,,,,,,57360,61,,,,
,,,,,,57420,60,,,,
,,,,,,57480,58,,,,
,,,,,,57540,57,,,,
,,,,,,57600,56,,,,
,,,,,,57660,57,,,,
,,,,,,57720,58,,,,
,,,,,,57840,57,,,,
,,,,,,57900,58,,,,
2024-04-29T23:33:00.000Z,,,,sedentary,,,,0,,,
,,,,,,57960,64,,,,
2024-04-29T23:34:00.000Z,,,,sedentary,,,,3,,,
,,,,,,58020,58,,,,
,,,,,,58080,54,,,,
,,,,,,58200,57,,,,
,,,,,,58260,56,,,,
,,,,,,58320,57,,,,
,,,,,,58500,58,,,,
,,,,,,58620,57,,,,
,,,,,,58680,59,,,,
,,,,,,58860,58,,,,
2024-04-29T23:49:00.000Z,,,,sedentary,,,,0,,,
,,,,,,58920,61,,,,
2024-04-29T23:50:00.000Z,,,,sedentary,,,,3,,,
,,,,,,58980,59,,,,
,,,,,,59040,56,,,,
,,,,,,59100,54,,,,
,,,,,,59280,55,,,,
,,,,,,59340,57,,,,
,,,,,,59400,56,,,,
,,,,,,59460,55,,,,
,,,,,,59520,56,,,,
2024-04-30T00:00:00.000Z,,,,sedentary,,,,0,,,
2024-04-30T00:01:00.000Z,,,,sedentary,,,,0,,,
2024-04-30T00:02:00.000Z,,,,sedentary,,,,2,,,
,,,,,,59700,53,,,,
2024-04-30T00:03:00.000Z,,,,sedentary,,,,0,,,
,,,,,,59760,56,,,,
,,,,,,59820,58,,,,
2024-04-30T00:05:00.000Z,,,,sedentary,,,,3,,,
,,,,,,59880,50,,,,
,,,,,,59940,52,,,,
,,,,,,60000,53,,,,
2024-04-30T00:08:00.000Z,,,,sedentary,,,,0,,,
,,,,,,60060,52,,,,
2024-04-30T00:09:00.000Z,,,,sedentary,,,,4,,,
,,,,,,60120,60,,,,
,,,,,,60180,50,,,,
,,,,,,60240,53,,,,
,,,,,,60300,54,,,,
,,,,,,60360,58,,,,
,,,,,,60420,56,,,,
,,,,,,60480,60,,,,
,,,,,,60540,56,,,,
,,,,,,60600,55,,,,
,,,,,,60720,64,,,,
,,,,,,60780,52,,,,
,,,,,,60840,54,,,,
,,,,,,60900,61,,,,
2024-04-30T00:23:00.000Z,,,,sedentary,,,,0,,,
,,,,,,60960,65,,,,
2024-04-30T00:24:00.000Z,,,,sedentary,,,,2,,,
,,,,,,61020,58,,,,
,,,,,,61080,57,,,,
2024-04-30T00:26:00.000Z,,,,sedentary,,,,0,,,
,,,,,,61140,58,,,,
2024-04-30T00:27:00.000Z,,,,sedentary,,,,3,,,
,,,,,,61200,56,,,,
,,,,,,61260,55,,,,
,,,,,,61320,59,,,,
,,,,,,61380,61,,,,
,,,,,,61440,59,,,,
