timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent
2024-04-30T21:00:00.000Z,,,,,,,,,,
2024-04-30T21:00:00.000Z,,,,,,,,,,
,,,,,,4108,62,,,
,,,,,,4168,64,,,
2024-04-30T21:02:00.000Z,,,,sedentary,,,,0,,
,,,,,,4228,70,,,
,,,,,,4288,71,,,
2024-04-30T21:04:00.000Z,,,,sedentary,,,,4,,
,,,,,,4348,79,,,
,,,,,,4408,70,,,
,,,,,,4468,67,,,
,,,,,,4528,66,,,
,,,,,,4708,65,,,
,,,,,,4828,63,,,
,,,,,,4888,64,,,
,,,,,,4948,67,,,
,,,,,,5068,66,,,
,,,,,,5128,68,,,
,,,,,,5188,66,,,
,,,,,,5248,67,,,
,,,,,,5308,65,,,
,,,,,,5368,66,,,
,,,,,,5428,67,,,
,,,,,,5488,66,,,
,,,,,,5668,67,,,
,,,,,,5728,66,,,
,,,,,,5788,64,,,
,,,,,,5848,66,,,
,,,,,,5908,67,,,
,,,,,,6148,65,,,
,,,,,,6208,66,,,
,,,,,,6268,67,,,
2024-04-30T21:37:00.000Z,,,,sedentary,,,,0,,
,,,,,,6328,66,,,
,,,,,,6388,74,,,
,,,,,,6448,64,,,
2024-04-30T21:40:00.000Z,,,,sedentary,,,,3,,
,,,,,,6508,63,,,
,,,,,,6568,61,,,
,,,,,,6748,62,,,
,,,,,,6808,63,,,
,,,,,,6868,61,,,
,,,,,,6928,63,,,
,,,,,,7108,64,,,
,,,,,,7168,63,,,
,,,,,,7228,64,,,
,,,,,,7288,63,,,
,,,,,,7348,64,,,
2024-04-30T21:56:00.000Z,,,,sedentary,,,,0,,
2024-04-30T21:57:00.000Z,,,,sedentary,,,,4,,
,,,,,,7588,65,,,
2024-04-30T21:59:00.000Z,,,,sedentary,,,,0,,
,,,,,,7648,64,,,
2024-04-30T22:00:00.000Z,,,,sedentary,,,,2,,
,,,,,,7708,58,,,
,,,,,,7768,59,,,
,,,,,,7828,61,,,
,,,,,,7888,60,,,
,,,,,,7948,61,,,
2024-04-30T22:06:00.000Z,,,,sedentary,,,,0,,
,,,,,,8068,62,,,
2024-04-30T22:07:00.000Z,,,,sedentary,,,,2,,
,,,,,,8308,64,,,
,,,,,,8368,63,,,
,,,,,,8488,65,,,
,,,,,,8608,64,,,
,,,,,,8668,67,,,
2024-04-30T22:17:00.000Z,,,,sedentary,,,,0,,
,,,,,,8728,64,,,
2024-04-30T22:18:00.000Z,,,,sedentary,,,,4,,
,,,,,,8788,60,,,
,,,,,,8848,57,,,
,,,,,,8908,65,,,
2024-04-30T22:21:00.000Z,,,,sedentary,,,,0,,
,,,,,,8968,59,,,
,,,,,,9028,74,,,
2024-04-30T22:23:00.000Z,,,,sedentary,,,,2,,
,,,,,,9088,69,,,
,,,,,,9148,72,,,
,,,,,,9208,76,,,
,,,,,,9268,79,,,
,,,,,,9328,83,,,
,,,,,,9388,78,,,
,,,,,,9448,77,,,
,,,,,,9508,74,,,
,,,,,,9568,76,,,
,,,,,,9628,72,,,
,,,,,,9688,69,,,
,,,,,,9748,71,,,
,,,,,,9808,72,,,
,,,,,,9868,68,,,
,,,,,,9928,69,,,
,,,,,,10048,68,,,
,,,,,,10108,66,,,
,,,,,,10168,71,,,
,,,,,,10348,70,,,
,,,,,,10408,66,,,
,,,,,,10468,67,,,
,,,,,,10528,68,,,
,,,,,,10648,66,,,
,,,,,,10708,65,,,
,,,,,,10828,66,,,
,,,,,,10888,67,,,
,,,,,,10948,64,,,
,,,,,,11008,63,,,
,,,,,,11128,65,,,
2024-04-30T23:00:00.000Z,,,,sedentary,,,,0,,
,,,,,,11368,66,,,
,,,,,,11428,64,,,
,,,,,,11488,66,,,
,,,,,,11548,65,,,
,,,,,,11668,66,,,
,,,,,,11788,67,,,
,,,,,,11848,66,,,
,,,,,,11968,65,,,
,,,,,,12028,66,,,
,,,,,,12088,67,,,
,,,,,,12148,65,,,
,,,,,,12208,67,,,
,,,,,,12268,65,,,
2024-04-30T23:17:00.000Z,,,,sedentary,,,,0,,
,,,,,,12328,64,,,
2024-04-30T23:18:00.000Z,,,,sedentary,,,,2,,
,,,,,,12388,60,,,
,,,,,,12448,59,,,
,,,,,,12508,60,,,
,,,,,,12628,59,,,
,,,,,,12688,60,,,
,,,,,,12748,61,,,
2024-04-30T23:26:00.000Z,,,,sedentary,,,,0,,
,,,,,,12868,60,,,
,,,,,,12928,66,,,
2024-04-30T23:28:00.000Z,,,,sedentary,,,,3,,
,,,,,,12988,58,,,
,,,,,,13048,59,,,
,,,,,,13108,57,,,
,,,,,,13348,58,,,
,,,,,,13408,59,,,
,,,,,,13468,57,,,
,,,,,,13528,56,,,
,,,,,,13588,59,,,
,,,,,,13648,56,,,
2024-04-30T23:41:00.000Z,,,,sedentary,,,,0,,
,,,,,,13768,59,,,
,,,,,,13828,69,,,
2024-04-30T23:43:00.000Z,,,,sedentary,,,,2,,
,,,,,,13888,56,,,
,,,,,,13948,57,,,
,,,,,,14008,58,,,
,,,,,,14128,57,,,
2024-04-30T23:48:00.000Z,,,,sedentary,,,,0,,
,,,,,,14188,63,,,
,,,,,,14248,56,,,
2024-04-30T23:50:00.000Z,,,,sedentary,,,,3,,
,,,,,,14308,59,,,
,,,,,,14428,60,,,
,,,,,,14488,62,,,
,,,,,,14548,61,,,
,,,,,,14608,55,,,
,,,,,,14668,63,,,
,,,,,,14788,68,,,
,,,,,,14848,66,,,
2024-05-01T00:00:00.000Z,,,,sedentary,,,,0,,
,,,,,,14908,65,,,
,,,,,,15028,64,,,
2024-05-01T00:03:00.000Z,,,,sedentary,,,,0,,
,,,,,,15088,69,,,
2024-05-01T00:04:00.000Z,,,,sedentary,,,,2,,
,,,,,,15148,65,,,
,,,,,,15208,64,,,
,,,,,,15268,66,,,
,,,,,,15328,67,,,
,,,,,,15388,68,,,
,,,,,,15448,70,,,
,,,,,,15508,68,,,
,,,,,,15568,63,,,
,,,,,,15628,66,,,
,,,,,,15688,64,,,
,,,,,,15748,63,,,
,,,,,,15808,65,,,
,,,,,,15868,67,,,
,,,,,,15928,65,,,
,,,,,,15988,64,,,
,,,,,,16048,65,,,
,,,,,,16108,64,,,
,,,,,,16168,63,,,
,,,,,,16228,62,,,
,,,,,,16288,63,,,
2024-05-01T00:24:00.000Z,,,,sedentary,,,,0,,
,,,,,,16348,66,,,
2024-05-01T00:25:00.000Z,,,,sedentary,,,,2,,
,,,,,,16408,64,,,
,,,,,,16468,63,,,
,,,,,,16528,61,,,
,,,,,,16588,62,,,
,,,,,,16648,61,,,
2024-05-01T00:31:00.000Z,,,,sedentary,,,,0,,
,,,,,,16768,62,,,
2024-05-01T00:32:00.000Z,,,,sedentary,,,,4,,
,,,,,,16828,70,,,
,,,,,,16888,56,,,
,,,,,,16948,58,,,
