timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,vigorous activity minutes
2024-05-02T21:00:00.000Z,,,,,,,,,,,,
2024-05-02T21:00:00.000Z,,,,,,,,,,,,
,,,,,,45956,55,,,,,
2024-05-02T21:03:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,46016,56,,,,,
2024-05-02T21:04:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,46076,81,,,,,
,,,,,,46136,55,,,,,
,,,,,,46196,54,,,,,
2024-05-02T21:07:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,46316,52,,,,,
2024-05-02T21:09:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,46376,50,,,,,
,,,,,,46436,55,,,,,
,,,,,,46496,51,,,,,
,,,,,,46556,52,,,,,
,,,,,,46616,53,,,,,
,,,,,,46676,50,,,,,
,,,,,,46736,51,,,,,
,,,,,,46916,52,,,,,
,,,,,,46976,54,,,,,
2024-05-02T21:20:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,47036,52,,,,,
2024-05-02T21:21:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,47096,51,,,,,
,,,,,,47156,53,,,,,
,,,,,,47216,54,,,,,
,,,,,,47336,55,,,,,
,,,,,,47456,56,,,,,
,,,,,,47516,57,,,,,
,,,,,,47576,55,,,,,
,,,,,,47636,57,,,,,
2024-05-02T21:31:00.000Z,,,,sedentary,,,,0,,,,
2024-05-02T21:32:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,47816,55,,,,,
2024-05-02T21:34:00.000Z,,,,sedentary,,,,0,,,,
2024-05-02T21:35:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,47936,54,,,,,
,,,,,,47996,56,,,,,
,,,,,,48056,54,,,,,
,,,,,,48116,55,,,,,
,,,,,,48236,56,,,,,
,,,,,,48356,55,,,,,
,,,,,,48476,57,,,,,
,,,,,,48536,58,,,,,
,,,,,,48596,57,,,,,
2024-05-02T21:49:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,48776,55,,,,,
,,,,,,48836,59,,,,,
2024-05-02T21:51:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,48896,61,,,,,
,,,,,,49076,57,,,,,
,,,,,,49136,56,,,,,
2024-05-02T22:00:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,49496,55,,,,,
,,,,,,49556,54,,,,,
,,,,,,49616,53,,,,,
,,,,,,49676,56,,,,,
,,,,,,49736,55,,,,,
,,,,,,49796,57,,,,,
,,,,,,49856,62,,,,,
,,,,,,49916,59,,,,,
,,,,,,49976,60,,,,,
,,,,,,50036,62,,,,,
,,,,,,50096,60,,,,,
,,,,,,50156,63,,,,,
,,,,,,50216,64,,,,,
,,,,,,50276,59,,,,,
,,,,,,50336,62,,,,,
,,,,,,50396,61,,,,,
2024-05-02T22:17:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,50456,58,,,,,
,,,,,,50516,67,,,,,
2024-05-02T22:19:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,50576,57,,,,,
2024-05-02T22:21:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,50696,59,,,,,
