timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,moderate activity minutes
2022-07-24T21:00:00.000Z,,,,,,,,,,,,
2022-07-24T21:00:00.000Z,,,,,,,,,,,,
2022-07-24T21:00:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,26380,79,,,,,
,,,,,,26560,80,,,,,
,,,,,,26620,81,,,,,
,,,,,,26680,78,,,,,
,,,,,,26740,77,,,,,
,,,,,,26800,76,,,,,
,,,,,,26980,73,,,,,
,,,,,,27040,72,,,,,
,,,,,,27100,73,,,,,
,,,,,,27160,74,,,,,
,,,,,,27220,76,,,,,
,,,,,,27280,75,,,,,
,,,,,,27340,73,,,,,
,,,,,,27400,70,,,,,
,,,,,,27580,72,,,,,
,,,,,,27820,71,,,,,
,,,,,,27880,72,,,,,
,,,,,,27940,71,,,,,
,,,,,,28060,70,,,,,
,,,,,,28120,71,,,,,
,,,,,,28180,72,,,,,
,,,,,,28420,71,,,,,
,,,,,,28480,72,,,,,
,,,,,,28600,73,,,,,
,,,,,,28660,71,,,,,
,,,,,,28720,72,,,,,
,,,,,,28780,71,,,,,
,,,,,,28840,72,,,,,
,,,,,,28960,71,,,,,
,,,,,,29080,72,,,,,
,,,,,,29200,73,,,,,
,,,,,,29260,72,,,,,
,,,,,,29380,70,,,,,
,,,,,,29440,71,,,,,
,,,,,,29500,72,,,,,
,,,,,,29620,71,,,,,
,,,,,,29740,77,,,,,
,,,,,,29800,78,,,,,
,,,,,,29860,75,,,,,
2022-07-24T22:01:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,30040,73,,,,,
,,,,,,30100,74,,,,,
,,,,,,30160,73,,,,,
,,,,,,30220,76,,,,,
,,,,,,30280,69,,,,,
,,,,,,30340,74,,,,,
,,,,,,30400,79,,,,,
,,,,,,30460,77,,,,,
,,,,,,30580,76,,,,,
,,,,,,30640,75,,,,,
,,,,,,30700,78,,,,,
,,,,,,30820,77,,,,,
,,,,,,30880,80,,,,,
2022-07-24T22:16:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,30940,79,,,,,
2022-07-24T22:17:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,31000,71,,,,,
,,,,,,31060,73,,,,,
,,,,,,31120,76,,,,,
,,,,,,31300,77,,,,,
,,,,,,31360,76,,,,,
,,,,,,31420,77,,,,,
,,,,,,31480,78,,,,,
,,,,,,31540,77,,,,,
,,,,,,31660,76,,,,,
,,,,,,31720,74,,,,,
,,,,,,31780,73,,,,,
,,,,,,31840,74,,,,,
,,,,,,31960,75,,,,,
,,,,,,32020,76,,,,,
,,,,,,32080,77,,,,,
,,,,,,32320,75,,,,,
,,,,,,32380,77,,,,,
,,,,,,32440,78,,,,,
,,,,,,32500,77,,,,,
,,,,,,32620,75,,,,,
,,,,,,32680,78,,,,,
,,,,,,32740,77,,,,,
2022-07-24T22:48:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,32860,76,,,,,
,,,,,,32920,77,,,,,
2022-07-24T22:50:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,33040,78,,,,,
,,,,,,33100,82,,,,,
,,,,,,33160,79,,,,,
,,,,,,33220,80,,,,,
,,,,,,33280,81,,,,,
,,,,,,33400,80,,,,,
2022-07-24T22:58:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,33460,79,,,,,
