timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min
2021-12-02T22:00:00.000Z,,,,,,,,,
2021-12-02T22:00:00.000Z,,,,sedentary,,,,0,
,,,,,,63004,70,,
,,9,1.000,walking,0,63004,,3,
,,,,,,63064,73,,
,,,,,,63124,62,,
,,,,,,63184,61,,
,,,,,,63244,62,,
2021-12-02T22:05:00.000Z,,,,sedentary,,,,4,
,,,,,,63304,65,,
,,16,61.000,walking,0,63304,,1,
,,,,,,63364,61,,
,,,,,,63424,60,,
,,,,,,63484,61,,
,,,,,,63544,65,,
,,,,,,63664,58,,
,,,,,,63724,56,,
2021-12-02T22:13:00.000Z,,,,sedentary,,,,4,
,,,,,,63784,58,,
2021-12-02T22:14:00.000Z,,,,sedentary,,,,0,
,,,,,,63844,55,,
,,,,,,63904,54,,
,,,,,,63964,56,,
,,,,,,64024,53,,
,,,,,,64084,54,,
2021-12-02T22:19:00.000Z,,,,sedentary,,,,3,
2021-12-02T22:20:00.000Z,,,,sedentary,,,,0,
,,,,,,64204,55,,
,,,,,,64264,57,,
,,,,,,64324,56,,
,,,,,,64444,55,,
2021-12-02T22:25:00.000Z,,,,sedentary,,,,3,
,,,,,,64504,54,,
,,27,121.000,walking,0,64504,,3,
,,,,,,64564,55,,
,,,,,,64624,64,,
,,,,,,64684,69,,
,,,,,,64744,65,,
,,,,,,64804,64,,
,,,,,,64864,65,,
,,,,,,64924,66,,
,,,,,,64984,65,,
,,,,,,65044,67,,
,,,,,,65104,66,,
,,,,,,65164,60,,
2021-12-02T22:37:00.000Z,,,,sedentary,,,,4,
,,,,,,65224,59,,
,,,,,,65284,57,,
,,66,241.000,walking,0,65284,,2,
,,,,,,65344,61,,
,,,,,,65404,58,,
,,,,,,65464,57,,
,,,,,,48,58,,
,,,,,,108,56,,
2021-12-02T22:45:00.000Z,,,,sedentary,,,,3,
,,78,301.000,walking,0,168,,2,
,,,,,,228,55,,
,,,,,,288,52,,
,,,,,,348,58,,
,,,,,,408,54,,
,,,,,,468,51,,
,,,,,,528,58,,
,,,,,,588,57,,
,,,,,,648,55,,
,,,,,,708,60,,
2021-12-02T22:55:00.000Z,,,,sedentary,,,,4,
,,,,,,768,58,,
,,85,361.000,walking,0,768,,1,
,,,,,,828,59,,
,,,,,,888,61,,
2021-12-02T22:58:00.000Z,,,,sedentary,,,,5,
,,,,,,948,57,,
,,94,421.000,walking,0,948,,3,
,,,,,,1008,52,,
,,,,,,1068,57,,
2021-12-02T23:01:00.000Z,,,,sedentary,,,,4,
,,,,,,1128,61,,
2021-12-02T23:02:00.000Z,,,,sedentary,,,,4,
,,,,,,1188,56,,
,,103,481.000,walking,0,1188,,1,
,,,,,,1308,57,,
,,,,,,1368,60,,
,,,,,,1428,57,,
,,,,,,1488,52,,
,,,,,,1608,51,,
2021-12-02T23:10:00.000Z,,,,sedentary,,,,3,
,,,,,,1668,53,,
,,112,541.000,walking,0,1668,,1,
,,,,,,1728,54,,
,,,,,,1788,52,,
2021-12-02T23:13:00.000Z,,,,sedentary,,,,4,
,,,,,,1848,57,,
,,,,,,1908,64,,
,,124,661.000,walking,0,1908,,1,
,,,,,,1968,62,,
,,,,,,2028,70,,
,,,,,,2088,68,,
,,,,,,2148,59,,
,,,,,,2208,65,,
,,195,961.000,walking,0,2208,,2,
,,,,,,2328,73,,
,,,,,,2388,53,,
,,,,,,2448,54,,
,,,,,,2508,51,,
,,,,,,2568,45,,
,,,,,,2628,53,,
,,,,,,2688,48,,
,,,,,,2748,51,,
2021-12-02T23:29:00.000Z,,,,sedentary,,,,4,
,,,,,,2808,59,,
,,212,1021.000,walking,0,2808,,4,
,,,,,,2868,56,,
,,,,,,2928,55,,
,,,,,,3048,44,,
2021-12-02T23:34:00.000Z,,,,sedentary,,,,4,
,,,,,,3108,43,,
,,,,,,3228,40,,
,,,,,,3288,43,,
,,,,,,3408,42,,
,,,,,,3468,43,,
,,,,,,3528,41,,
,,,,,,3588,42,,
2021-12-02T23:43:00.000Z,,,,sedentary,,,,0,
,,,,,,3648,43,,
2021-12-02T23:44:00.000Z,,,,sedentary,,,,1,
,,,,,,3708,46,,
,,,,,,3768,42,,
,,,,,,3888,41,,
,,,,,,3948,42,,
,,,,,,4008,41,,
,,,,,,4068,42,,
,,,,,,4248,41,,
,,,,,,4308,42,,
,,,,,,4428,43,,
,,,,,,4488,41,,
,,,,,,4548,42,,
,,,,,,4608,43,,
,,,,,,4668,40,,
,,,,,,4728,41,,
2021-12-03T00:02:00.000Z,,,,sedentary,,,,0,
,,,,,,4848,42,,
,,,,,,4908,41,,
,,,,,,5028,42,,
,,,,,,5268,41,,
,,,,,,5388,42,,
,,,,,,5448,41,,
,,,,,,5508,42,,
2021-12-03T00:16:00.000Z,,,,sedentary,,,,0,
,,,,,,5628,45,,
2021-12-03T00:17:00.000Z,,,,sedentary,,,,3,
,,,,,,5688,50,,
,,221,1081.000,walking,0,5688,,3,
,,,,,,5748,45,,
,,,,,,5808,43,,
,,,,,,5868,41,,
,,,,,,5928,42,,
,,,,,,6048,41,,
,,,,,,6168,43,,
2021-12-03T00:26:00.000Z,,,,sedentary,,,,0,
,,,,,,6228,44,,
,,,,,,6288,46,,
,,,,,,6348,48,,
2021-12-03T00:29:00.000Z,,,,sedentary,,,,3,
,,,,,,6408,42,,
,,,,,,6528,43,,
,,,,,,6708,44,,
2021-12-03T00:35:00.000Z,,,,sedentary,,,,0,
,,,,,,6768,50,,
2021-12-03T00:36:00.000Z,,,,sedentary,,,,3,
,,,,,,6828,46,,
,,,,,,6888,49,,
,,,,,,6948,46,,
,,,,,,7008,50,,
,,,,,,7068,51,,
,,,,,,7128,50,,
,,,,,,7188,55,,
2021-12-03T00:43:00.000Z,,,,sedentary,,,,0,
2021-12-03T00:44:00.000Z,,,,sedentary,,,,4,
,,,,,,7308,51,,
,,,,,,7368,48,,
,,,,,,7488,47,,
,,,,,,7548,46,,
,,,,,,7608,49,,
2021-12-03T00:50:00.000Z,,,,sedentary,,,,0,
,,,,,,7668,47,,
2021-12-03T00:51:00.000Z,,,,sedentary,,,,3,
,,,,,,7788,48,,
,,,,,,7848,47,,
2021-12-03T00:54:00.000Z,,,,sedentary,,,,0,
2021-12-03T00:55:00.000Z,,,,sedentary,,,,2,
,,,,,,7968,46,,
,,,,,,8028,48,,
,,,,,,8088,46,,
2021-12-03T00:58:00.000Z,,,,sedentary,,,,0,
,,,,,,8148,47,,
2021-12-03T00:59:00.000Z,,,,sedentary,,,,2,
,,,,,,8208,43,,
,,,,,,8268,45,,
2021-12-03T01:01:00.000Z,,,,sedentary,,,,0,
,,,,,,8328,44,,
2021-12-03T01:02:00.000Z,,,,sedentary,,,,2,
,,,,,,8388,45,,
2021-12-03T01:03:00.000Z,,,,sedentary,,,,2,
,,,,,,8448,44,,
,,,,,,8508,45,,
,,,,,,8568,44,,
2021-12-03T01:06:00.000Z,,,,sedentary,,,,0,
2021-12-03T01:07:00.000Z,,,,sedentary,,,,1,
,,,,,,8748,45,,
,,,,,,8868,46,,
,,,,,,9048,45,,
,,,,,,9108,46,,
,,,,,,9168,47,,
,,,,,,9228,46,,
,,,,,,9468,47,,
,,,,,,9588,48,,
,,,,,,9648,47,,
2021-12-03T01:26:00.000Z,,,,sedentary,,,,0,
,,,,,,9828,50,,
,,,,,,9888,51,,
2021-12-03T01:28:00.000Z,,,,sedentary,,,,3,
,,,,,,9948,49,,
2021-12-03T01:29:00.000Z,,,,sedentary,,,,0,
,,,,,,10008,47,,
2021-12-03T01:30:00.000Z,,,,sedentary,,,,1,
,,,,,,10128,45,,
,,,,,,10188,44,,
,,,,,,10308,43,,
,,,,,,10428,44,,
,,,,,,10488,43,,
,,,,,,10608,41,,
,,,,,,10668,43,,
,,,,,,10908,44,,
,,,,,,11028,43,,
2021-12-03T01:47:00.000Z,,,,sedentary,,,,0,
,,,,,,11088,44,,
2021-12-03T01:48:00.000Z,,,,sedentary,,,,3,
,,,,,,11148,55,,
,,,,,,11208,46,,
,,,,,,11268,45,,
,,,,,,11328,44,,
2021-12-03T01:52:00.000Z,,,,sedentary,,,,0,
,,,,,,11388,47,,
,,,,,,11448,48,,
2021-12-03T01:54:00.000Z,,,,sedentary,,,,2,
,,,,,,11508,50,,
,,,,,,11568,46,,
,,,,,,11628,45,,
,,,,,,11688,46,,
,,,,,,11748,47,,
2021-12-03T01:59:00.000Z,,,,sedentary,,,,0,
,,,,,,11808,50,,
2021-12-03T02:00:00.000Z,,,,sedentary,,,,3,
,,,,,,11928,53,,
2021-12-03T02:02:00.000Z,,,,sedentary,,,,0,
,,,,,,11988,57,,
,,,,,,12048,58,,
,,,,,,12108,56,,
,,,,,,12168,58,,
,,,,,,12228,59,,
2021-12-03T02:07:00.000Z,,,,sedentary,,,,0,
,,,,,,12288,56,,
2021-12-03T02:08:00.000Z,,,,sedentary,,,,2,
,,,,,,12348,54,,
,,,,,,12408,55,,
,,,,,,12468,53,,
,,,,,,12528,55,,
2021-12-03T02:12:00.000Z,,,,sedentary,,,,0,
,,,,,,12588,57,,
2021-12-03T02:13:00.000Z,,,,sedentary,,,,1,
,,,,,,12648,53,,
,,,,,,12768,55,,
,,,,,,12828,52,,
,,,,,,12888,53,,
,,,,,,12948,55,,
,,,,,,13008,54,,
,,,,,,13068,57,,
,,,,,,13128,54,,
,,,,,,13188,55,,
,,,,,,13248,52,,
,,,,,,13368,53,,
,,,,,,13428,57,,
2021-12-03T02:27:00.000Z,,,,sedentary,,,,0,
,,,,,,13488,53,,
2021-12-03T02:28:00.000Z,,,,sedentary,,,,1,
,,,,,,13548,52,,
,,,,,,13668,51,,
,,,,,,13728,50,,
,,,,,,13788,52,,
,,,,,,13848,50,,
2021-12-03T02:34:00.000Z,,,,sedentary,,,,0,
,,,,,,13908,51,,
2021-12-03T02:35:00.000Z,,,,sedentary,,,,1,
,,,,,,13968,52,,
,,,,,,14028,50,,
,,,,,,14148,51,,
2021-12-03T02:39:00.000Z,,,,sedentary,,,,0,
,,,,,,14208,48,,
2021-12-03T02:40:00.000Z,,,,sedentary,,,,2,
,,,,,,14268,51,,
,,,,,,14328,52,,
,,,,,,14388,53,,
2021-12-03T02:44:00.000Z,,,,sedentary,,,,0,
,,,,,,14508,58,,
2021-12-03T02:45:00.000Z,,,,sedentary,,,,3,
,,,,,,14568,52,,
,,,,,,14628,50,,
,,,,,,14688,48,,
,,,,,,14748,49,,
,,,,,,14808,47,,
,,,,,,14868,46,,
,,,,,,14928,49,,
,,,,,,14988,48,,
,,,,,,15048,47,,
,,,,,,15108,46,,
,,,,,,15168,45,,
,,,,,,15228,47,,
,,,,,,15288,48,,
,,,,,,15348,45,,
,,,,,,15408,46,,
,,,,,,15468,47,,
,,,,,,15528,49,,
2021-12-03T03:02:00.000Z,,,,sedentary,,,,0,
,,,,,,15588,47,,
,,,,,,15768,48,,
,,,,,,15888,46,,
,,,,,,15948,49,,
2021-12-03T03:09:00.000Z,,,,sedentary,,,,0,
,,,,,,16008,50,,
2021-12-03T03:10:00.000Z,,,,sedentary,,,,3,
,,,,,,16068,57,,
,,,,,,16128,48,,
,,,,,,16188,47,,
,,,,,,16248,46,,
,,,,,,16368,47,,
2021-12-03T03:16:00.000Z,,,,sedentary,,,,0,
,,,,,,16428,52,,
2021-12-03T03:17:00.000Z,,,,sedentary,,,,4,
,,,,,,16488,55,,
,,,,,,16548,47,,
,,,,,,16668,46,,
,,,,,,16728,47,,
,,,,,,16788,46,,
