timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min
2024-03-24T06:40:00.000Z,252.66,321,960.000,walking,24,,,,520
2024-03-24T06:40:00.000Z,5.90,5,60.000,running,1,,,,520
2024-03-24T06:40:00.000Z,,,,,,,,,
,,,,,,32508,85,,
2024-03-24T06:41:00.000Z,,,,sedentary,,,,6,
,,,,,,32568,88,,
,,,,,,32628,85,,
,,,,,,32688,80,,
,,,,,,32748,78,,
,,392,1200.000,walking,31,32748,,2,
,,,,,,32808,70,,
,,,,,,32868,66,,
,,,,,,32928,64,,
,,,,,,32988,63,,
,,,,,,33048,62,,
,,,,,,33108,65,,
,,,,,,33168,63,,
,,,,,,33228,59,,
,,,,,,33288,60,,
,,,,,,33348,59,,
2024-03-24T06:56:00.000Z,,,,sedentary,,,,3,
,,,,,,33468,57,,
,,,,,,33528,61,,
,,,,,,33588,60,,
,,425,1380.000,walking,31,33588,,2,
,,,,,,33648,66,,
2024-03-24T07:00:00.000Z,,,,sedentary,,,,5,
,,,,,,33708,85,,
,,467,1440.000,walking,34,33708,,2,
,,,,,,33768,91,,
2024-03-24T07:03:00.000Z,,,,sedentary,,,,6,
,,,,,,33888,86,,
2024-03-24T07:04:00.000Z,,,,sedentary,,,,4,
,,,,,,33948,77,,
,,488,1500.000,walking,35,33948,,2,
,,,,,,34008,88,,
,,,,,,34068,99,,
2024-03-24T07:07:00.000Z,,,,sedentary,,,,6,
,,,,,,34128,96,,
,,,,,,34188,99,,
,,,,,,34248,92,,
,,,,,,34308,85,,
,,569,1740.000,walking,46,34308,,2,
,,,,,,34368,89,,
2024-03-24T07:12:00.000Z,,,,sedentary,,,,6,
,,,,,,34428,90,,
,,,,,,34488,92,,
,,,,,,34548,88,,
,,677,1920.000,walking,53,34548,,2,
,,,,,,34608,90,,
,,,,,,34668,89,,
,,,,,,34728,83,,
,,,,,,34788,81,,
2024-03-24T07:19:00.000Z,,,,sedentary,,,,6,
,,,,,,34848,85,,
,,699,1980.000,walking,55,34848,,3,
,,,,,,34908,86,,
,,,,,,34968,91,,
2024-03-24T07:22:00.000Z,,,,sedentary,,,,6,
,,,,,,35028,98,,
,,,,,,35088,99,,
