stress level value,stress level time
-2,2024-03-24T06:41:00.000Z
-2,2024-03-24T06:42:00.000Z
75,2024-03-24T06:43:00.000Z
-2,2024-03-24T06:44:00.000Z
63,2024-03-24T06:45:00.000Z
40,2024-03-24T06:46:00.000Z
28,2024-03-24T06:47:00.000Z
27,2024-03-24T06:48:00.000Z
30,2024-03-24T06:49:00.000Z
20,2024-03-24T06:50:00.000Z
23,2024-03-24T06:51:00.000Z
24,2024-03-24T06:52:00.000Z
22,2024-03-24T06:53:00.000Z
20,2024-03-24T06:54:00.000Z
18,2024-03-24T06:55:00.000Z
21,2024-03-24T06:56:00.000Z
23,2024-03-24T06:57:00.000Z
17,2024-03-24T06:58:00.000Z
21,2024-03-24T06:59:00.000Z
-2,2024-03-24T07:00:00.000Z
-2,2024-03-24T07:01:00.000Z
-2,2024-03-24T07:02:00.000Z
-2,2024-03-24T07:03:00.000Z
73,2024-03-24T07:04:00.000Z
-2,2024-03-24T07:05:00.000Z
-2,2024-03-24T07:06:00.000Z
-2,2024-03-24T07:07:00.000Z
-2,2024-03-24T07:08:00.000Z
-2,2024-03-24T07:09:00.000Z
-2,2024-03-24T07:10:00.000Z
81,2024-03-24T07:11:00.000Z
85,2024-03-24T07:12:00.000Z
-2,2024-03-24T07:13:00.000Z
-2,2024-03-24T07:14:00.000Z
-2,2024-03-24T07:15:00.000Z
82,2024-03-24T07:16:00.000Z
74,2024-03-24T07:17:00.000Z
79,2024-03-24T07:18:00.000Z
48,2024-03-24T07:19:00.000Z
51,2024-03-24T07:20:00.000Z
63,2024-03-24T07:21:00.000Z
-2,2024-03-24T07:22:00.000Z
-2,2024-03-24T07:23:00.000Z
-2,2024-03-24T07:24:00.000Z
-2,2024-03-24T07:25:00.000Z
-2,2024-03-24T07:26:00.000Z
78,2024-03-24T07:27:00.000Z
54,2024-03-24T07:28:00.000Z
35,2024-03-24T07:29:00.000Z
30,2024-03-24T07:30:00.000Z
33,2024-03-24T07:31:00.000Z
-2,2024-03-24T07:32:00.000Z
58,2024-03-24T07:33:00.000Z
45,2024-03-24T07:34:00.000Z
31,2024-03-24T07:35:00.000Z
27,2024-03-24T07:36:00.000Z
21,2024-03-24T07:37:00.000Z
27,2024-03-24T07:38:00.000Z
22,2024-03-24T07:39:00.000Z
20,2024-03-24T07:40:00.000Z
23,2024-03-24T07:41:00.000Z
27,2024-03-24T07:42:00.000Z
42,2024-03-24T07:43:00.000Z
43,2024-03-24T07:44:00.000Z
30,2024-03-24T07:45:00.000Z
39,2024-03-24T07:46:00.000Z
43,2024-03-24T07:47:00.000Z
39,2024-03-24T07:48:00.000Z
39,2024-03-24T07:49:00.000Z
23,2024-03-24T07:50:00.000Z
25,2024-03-24T07:51:00.000Z
39,2024-03-24T07:52:00.000Z
30,2024-03-24T07:53:00.000Z
29,2024-03-24T07:54:00.000Z
20,2024-03-24T07:55:00.000Z
22,2024-03-24T07:56:00.000Z
25,2024-03-24T07:57:00.000Z
19,2024-03-24T07:58:00.000Z
18,2024-03-24T07:59:00.000Z
16,2024-03-24T08:00:00.000Z
17,2024-03-24T08:01:00.000Z
19,2024-03-24T08:02:00.000Z
16,2024-03-24T08:03:00.000Z
14,2024-03-24T08:04:00.000Z
17,2024-03-24T08:05:00.000Z
20,2024-03-24T08:06:00.000Z
15,2024-03-24T08:07:00.000Z
19,2024-03-24T08:08:00.000Z
15,2024-03-24T08:09:00.000Z
12,2024-03-24T08:10:00.000Z
18,2024-03-24T08:11:00.000Z
26,2024-03-24T08:12:00.000Z
17,2024-03-24T08:13:00.000Z
